stud,sex,birth,sire,dam,taxon,name,death,events
6401,F,~ 1964,WILD,WILD,fulgens,,1978-01-31,SCASIA         ~ 1964   NONE      Capture                        fulgens | ZEEHANDLR    ????     ______      Transfer | COLO SPRG 16 Jul 1969 100259      Transfer | 31 Jan 1978             Death | [Death by: Infection associated   Bury   Urinary    Unknown after necropsy]
6801,M,~ 1964,WILD,WILD,fulgens,,1979-08-18,SCASIA         ~ 1964   NONE      Capture             FM/00/68/01 fulgens | ZEEHANDLR    ????     ______      Transfer | COLO SPRG 19 Sep 1968 100258      Transfer | 18 Aug 1979             Death | [Death by: Infection associated   Bury   Generalized    Unknown after necropsy]
6806,F,~ 1964,WILD,WILD,fulgens,,1977-12-04,SCASIA         ~ 1964   NONE      Capture             FF/00/68/06 fulgens | ZEEHANDLR    ????     ______      Transfer | COLO SPRG 22 May 1968 100257      Transfer | 4 Dec 1977             Death | [Death by: Infection associated   Bury   Respiratory    Unknown after necropsy]
6802,M,~ 1965,WILD,WILD,fulgens,,1982-12-06,COLO SPRG   30 Jul 1969 69M001    Transfer   MUGGER              fulgens | DENVER      30 Dec 1975 01237     Transfer | 6 Dec 1982           Death | [Death by: Unknown means]
6602,F,~ 1966,WILD,WILD,fulgens,,1980-08-14,COLWYNBAY      ????     ______    Transfer   BESS                fulgens | LONDON RP    3 Mar 1969   1515    Transfer | WHIPSNADE   19 May 1969 ______    Transfer | LONDON RP    8 Jan 1976   1515    Transfer | WHIPSNADE   15 Jan 1976 ______    Transfer | LONDON RP   12 Jan 1977   1515    Transfer | WHIPSNADE   11 May 1977 ______    Transfer | 14 Aug 1980           Death | [Death by: Unknown means]
6702,M,~ 1966,WILD,WILD,fulgens,,1981-02-26,KATHMANDU        ~ 1966   NONE    Capture    Original G          fulgens | V.D.BRINK       ????      ______     Transfer | SAN FRAN      2 Feb 1967    1674     Transfer | 26 Feb 1981             Death | [Death by: Euthanasia (medical)         Unknown     Generalized    Mechanical abnormality]
6905,M,~ 1966,WILD,WILD,fulgens,,1977-10-24,ZEEHANDLR        ????     ______     Transfer                        fulgens | BUFFALO       17 Jul 1969    264     Transfer | 24 Oct 1977            Death | [Death by: Other/Unknown         Given to an institution:    Necropsy planned later]
6701,M,~ 1967,WILD,WILD,fulgens,,1980-02-05,BREMEN           ????     ______     Transfer   PORGY                fulgens | LONDON RP      2 Oct 1967   1514     Transfer | WHIPSNADE     19 May 1969 ______     Transfer | LONDON RP     12 Jan 1977   1514     Transfer | WHIPSNADE     11 May 1977 ______     Transfer | 5 Feb 1980            Death | [Death by: Unknown means]
6803,M,~ 1967,WILD,WILD,fulgens,,1980-10-12,KREFELD       30 Jan 1968 ______     Transfer   TOM                  fulgens | 12 Oct 1980            Death | [Death by: Unknown means]
6804,F,~ 1967,WILD,WILD,fulgens,,1979-03-05,KREFELD       31 Jan 1968 ______     Transfer   TESSY                fulgens | 5 Mar 1979            Death | [Death by: Unknown means]
