studbook_id,slug,wiki_born,wiki_died,isb_birth,isb_birth_norm,isb_approx,isb_sex,isb_taxon,isb_name,isb_sire,isb_dam,isb_death
0008,lum-2000-06-04,2000-06-04,2019-10-01,4 Jun 2000,2000-06-04,False,M,styani,,9095,9708,
00102,buna-2000-07-17,2000-07-17,2023-10-27,17 Jul 2000,2000-07-17,False,M,styani,BUNA,9598,96109,
00103,nara-2000-07-17,2000-07-17,2012-03-18,17 Jul 2000,2000-07-17,False,F,styani,NARA,9598,96109,
00109,gou-2000-06-19,2000-06-19,2018-04-29,29 Jun 2000,2000-06-29,False,M,styani,GOU,9270,9799,
00150,kinta-2000-06-08,2000-06-08,2018-06-11,8 Jun 2000,2000-06-08,False,F,styani,KINTA,UNK,UNK,
0083,kousei-2000-06-23,2000-06-23,2017-04-16,23 Jun 2000,2000-06-23,False,F,styani,JAZGA,9446,97100,
0084,franz-2000-06-23,2000-06-23,2016-03-08,23 Jun 2000,2000-06-23,False,F,styani,JAZGA,9446,97100,
0085,koko-2000-06-23,2000-06-23,2017-07-05,25 Jun 2000,2000-06-25,False,M,styani,KOKO,9052,9787,
0086,seina-2000-06-23,2000-06-23,2017-02-17,25 Jun 2000,2000-06-25,False,F,styani,SEINA,9052,9787,
0087,kousei-2000-06-27,2000-06-27,2018-04-03,27 Jun 2000,2000-06-27,False,M,styani,KOUSEI,93111,9788,
0088,lala-2000-06-27,2000-06-27,2015-02-02,27 Jun 2000,2000-06-27,False,F,styani,RARA,93111,9788,
0089,shin-shin-2000-06-30,2000-06-30,2002,30 Jun 2000,2000-06-30,False,M,styani,SINSUN,8977,9444,
0096,kiki-2000-07-04,2000-07-04,2019-06-25,4 Jul 2000,2000-07-04,False,M,styani,KIKI,95122,9280,
0097,lala-2000-07-04,2000-07-04,2013-12-03,4 Jul 2000,2000-07-04,False,F,styani,LALA,95122,9280,
0098,kashi-2000-07-13,2000-07-13,2001-09-08,13 Jul 2000,2000-07-13,False,M,styani,KASHI,9598,95114,2001-09-08
0099,shii-2000-07-13,2000-07-13,2020-01-19,13 Jul 2000,2000-07-13,False,M,styani,SHII,9598,95114,
01100,chip-2001-06-19,2001-06-19,2009-09-10,19 Jun 2001,2001-06-19,False,M,styani,TIP,9446,97100,
01101,dale-2001-06-19,2001-06-19,2019-08-02,19 Jun 2001,2001-06-19,False,F,styani,JAZGA,9446,97100,
01103,shun-shun-2001-06-28,2001-06-28,2016-12-30,28 Jun 2001,2001-06-28,False,M,styani,JUN-JUN,9185,9256,
01108,nyan-nyan-2001-07-09,2001-07-09,2013-08-20,9 Jul 2001,2001-07-09,False,F,styani,JAZGA,9254,9171,
01109,nana-2001-07-13,2001-07-13,2018-02-09,13 Jul 2001,2001-07-13,False,F,styani,NANA,97111,93107,
01110,hana-2001-07-13,2001-07-13,,13 Jul 2001,2001-07-13,False,F,styani,,97111,93107,
