wiki_file,japanese,death_date,cause
min-fa-2006-06-23.md,ミンファ,2026-05-21,老衰
airi-2006-06-20.md,アイリ,2026-05-06,多臓器不全
hibiki-2015-07-19.md,ヒビキ,2026-04-24,膵炎
ren-2007-06-14.md,"レン, 蓮",2026-03-29,循環不全
raichi-2005-06-25.md,ライチ,2026-01-29,老衰
daichi-2006-08-01.md,ダイチ,2026-01-04,老衰
gaia-2004-06-10.md,ガイア,2025-11-20,老衰
coco-2006-06-24.md,ココ,2025-11-09,急性心不全
taofa-2015-06-14.md,タオファ、桃花,2025-10-07,腸重積による急性循環不全
subaru-2010-06-26.md,スバル,2025-09-17,肝不全
mugi-2015-07-13.md,ムギ,2025-07-31,胃捻転
kiraly-2011-06-27.md,キラリ,2025-07-06,腸閉塞
mel-2013-07-10.md,メル,2025-03-31,腸重積に伴う循環不全
kou-kou-2003-07-15.md,"航航, コウコウ",2025-03-16,肺炎及び多臓器不全
kokin-2017-06-28.md,コキン,2025-01-18,腸閉塞
taku-2010-06-15.md,タク,2024-07-16,循環器不全
min-min-2010-06-28.md,ミンミン,2024-04-10,脳梗塞の疑い
aya-2006-06-05.md,彩,2024-04-04,高齢による心機能低下および誤嚥性肺炎
hikari-2013-07-18.md,ひかり,2024-03-10,腸閉塞
mutan-2014-06-19.md,ムータン / 牡丹,2024-01-31,頸部腫瘤の出血による失血死
nara-2000-07-17.md,"楢, ナラ",2023-10-27,脳出血(急性腎不全と誤嚥性肺炎も発症か)
hinata-2009-07-08.md,ひなた,2023-07-13,心不全
hana-2005-06-21.md,"ハナ, ヒマワリ",2023-02-26,老衰
chao-2006-07-06.md,チャオ,2023-02-18,心不全
daichi-2009-06-20.md,大地,2022-12-06,呼吸器不全
koto-2009-07-09.md,"コト, 古都",2022-11-15,死因特定できず(腹膜炎、後頭葉の髄膜炎など様々な所見が見られた)
yuri-2013-06-26.md,"百合, ゆり",2022-10-30,消化器疾患により
nene-2012-07-05.md,ネネ,2022-06-17,心不全および肺水腫による循環機能不全
yuuta-2006-06-02.md,ユウタ,2022-05-23,循環不全
umi-2002-06-24.md,"海, ウミ",2022-04-06,悪性腫瘍の転移により、循環器不全
ken-ken-2006-07-18.md,"ケンケン, 賢健",2022-03-26,老衰
hikaru-2015-07-19.md,ヒカル,2022-02-21,腸重積と十二指腸閉塞
min-min-2002-07-17.md,ミンミン,2022-02-13,老衰
luna-2004-06-28.md,ルナ,2022-01-18,老衰
toro-2004-06-29.md,トロ,2022-01-05,心不全
aiai-2002-07-17.md,アイアイ,2022-01-04,老衰
ron-ron-2002-06-28.md,ロンロン,2021-12-13,老衰
charmin-2011-07-17.md,チャーミン,2021-08-22,心不全
kuu-2008-07-03.md,クゥ,2021-02-20,腸閉塞
yan-yan-2010-06-24.md,ヤンヤン,2021-01-23,腸閉塞
kuuta-2008-06-27.md,クウタ,2020-12-12,膿胸により肺に膿が溜まり死亡
sou-sou-2012-07-08.md,ソウソウ,2020-12-01,膵炎
sora-seina-2008-06-16.md,ソラ,2020-11-18,胸腔内腫瘍
gin-2012-07-20.md,ギン,2020-07-22,落下によるショック死
hao-2005-06-14.md,ハオ / 好,2019-12-30,リンパ腫
boo-boo-1997-07-13.md,ブーブー,2019-11-24,老衰
ten-ten-1997-06-18.md,天天,2019-11-20,老衰
chihiro-2003-06-16.md,チヒロ,2019-10-24,心不全
jasmine-2010-07-14.md,ジャスミン,2019-07-25,循環不全(持病の低カリウム血症による)
kiki-2000-07-04.md,キキ,2019-06-25,老衰
sea-2010-07-19.md,シー,2019-03-22,循環器不全・肺出血
lala-2000-06-27.md,ララ,2018-04-03,老衰
kin-2012-07-20.md,キン,2017-08-17,腸閉塞
nono-2002-07-15.md,ノノ,2017-05-08,心不全
yuuka-2010-06-20.md,"優花, ユウカ",2016-08-15,後肢の腫れにより、敗血症
miu-2010-07-19.md,ミウ,2016-01-24,腸捻転
mii-mii-1994-06-26.md,美美,2015-03-31,老衰
shuu-shuu-2001-07-21.md,シュウシュウ,2015-12-27,老衰
takeru-2015-07-29.md,タケル,2015-12-17,消化機能不全
ren-2007-06-14.md,"レン, 蓮",2015-10-31,心不全
